10,11,12,13,11,12,13,11,12,13,11,12,13,11,12,13,11,12,13,11,12,13,11,12,13,11,12,13,11,12,13,11,12,13,11,12,13,11,12,13,11,12,13,11,12,13,11,12,13,14,
20,21,22,23,21,22,23,21,22,23,21,22,23,21,22,23,21,22,23,21,22,23,21,22,23,21,22,23,21,22,23,21,22,23,21,22,23,21,22,23,21,22,23,21,22,23,21,22,23,24,
24,31,32,33,31,32,33,31,32,33,31,32,33,31,32,33,31,32,33,31,32,33,31,32,33,31,32,33,31,32,33,31,32,33,31,32,33,31,32,33,31,32,33,31,32,33,31,32,33,34,
34,05,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,06,24,
29,05,01,01,01,01,01,02,01,01,01,01,01,27,28,01,27,28,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,87,87,87,87,87,87,87,87,87,87,87,87,87,24,
39,05,01,03,01,01,01,01,01,01,01,01,01,37,38,01,37,38,01,01,01,01,01,01,02,01,01,01,01,01,01,01,01,01,01,01,57,57,57,57,57,57,57,57,57,57,57,57,57,34,
29,10,11,12,13,10,11,12,13,11,14,01,01,01,01,27,28,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,03,01,01,01,67,67,67,67,67,67,67,67,67,67,67,67,67,24,
39,20,21,22,23,20,21,22,23,21,24,05,01,01,01,37,38,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,67,77,67,67,77,67,67,77,67,67,77,67,67,34,
29,30,31,32,33,30,31,32,33,31,34,05,01,01,01,01,01,01,01,01,01,01,01,01,01,01,27,28,01,01,01,01,01,01,01,01,67,67,67,67,67,67,67,67,67,67,67,67,67,24,
39,59,59,59,59,59,59,59,59,59,24,05,01,01,01,01,01,01,01,01,03,01,01,03,01,01,37,38,01,01,01,01,02,01,01,01,87,87,87,87,87,87,87,87,87,87,87,87,87,34,
29,49,35,35,35,35,35,35,35,35,34,05,01,01,01,01,02,01,01,01,01,01,01,01,01,01,01,01,02,01,01,01,01,01,01,01,01,27,28,01,01,01,01,01,01,01,01,01,01,24,
